gene_common	nemve1	ish_blastula	nvertx.4	24h	48h	72h	96h	120h	144h	168h	192h	0h	1h	2h	3h	4h	5h	6h	7h	8h	9h	10h	11h	12h	13h	14h	15h	16h	17h	18h	19h	2h	7h	12h	24h	120h	240h	2avg	7avg	12avg	24avg	120avg
brachyury	jgi|Nemve1|770|gw.137.1.1	central_ring	NvERTx.4.100808	7.38	6.54	6.18	6.21	6.22	6.29	6.16	5.62	4.15	2.86	2.44	2.7	2.46	2.36	2.6	2.59	2.79	3.8	6	6.71	6.75	6.73	6.52	6.64	6.87	7.37	7.77	7.78	1.99	2.46	7.29	7.33	6.24	5.15	2.215	2.525	7.02	7.355	6.23
duxa	jgi|Nemve1|38792|gw.30.189.1	central_domain	NvERTx.4.64872	0.33	0.29	0.29	0.29	0.31	0.29	0.29	0.29	0.03	0.13	-0.01	-0.1	-0.19	-0.06	0.01	0.12	1	1.65	2.39	2.5	2.69	2.87	3.48	3.1	3.36	2.29	2.24	1.24	0.42	0.32	2.04	0.4	0.23	0.22	0.205	0.22	2.365	0.365	0.27
fgf8a	jgi|Nemve1|170313|estExt_gwp.C_1450010	central_domain	NvERTx.4.87886	6.86	6.95	6.71	6.61	6.63	6.6	6.59	6.75	6.61	6.31	6.18	6.12	5.93	6.08	6.13	6.16	6.15	6.19	6.19	6.32	6.46	6.57	6.64	6.49	6.63	6.58	6.6	6.48	6.06	6.13	6.59	6.9	6.58	6.54	6.12	6.145	6.525	6.88	6.605
foxa	jgi|Nemve1|165261|estExt_gwp.C_580130	central_ring	NvERTx.4.73096	4.51	6.03	6.05	6.01	6.05	6.12	6.03	6.09	0.46	1.52	0.45	0.51	0.4	0.52	0.44	0.45	0.53	0.84	1.99	2.88	3.25	3.23	3.24	3.53	3.67	4.23	4.23	4.57	0.2	0.2	3.74	4.45	6.09	5.77	0.325	0.325	3.495	4.48	6.07
foxb	jgi|Nemve1|187332|estExt_GenewiseH_1.C_990063	central_ring	NvERTx.4.35039	5.51	4.99	3.81	3.3	3.25	3.25	3.25	2.96	0.42	0.51	0.39	0.35	0.35	0.38	0.61	0.56	1.9	3.14	4.62	5.58	5.73	5.43	5.55	5.42	5.77	5.9	5.85	5.63	0.4	0.64	5.64	5.5	3.25	2.72	0.395	0.6	5.685	5.505	3.25
foxq1	jgi|Nemve1|201028|fgenesh1_pg.scaffold_25000096	central_domain	NvERTx.4.59387	3.12	1.7	1.3	2.67	3.25	3.43	3.48	3.71	0.12	0.06	0.18	0.06	0.06	0.1	0.12	0.31	0.12	0.21	0.73	1.45	2.26	2.63	2.97	2.98	2.85	2.66	2.16	1.93	0.36	0.37	1.99	2.94	3.41	3.75	0.27	0.34	2.125	3.03	3.33
gli	jgi|Nemve1|116463|e_gw.138.41.1	central_domain	NvERTx.4.155835	2.52	3.36	3.48	4.2	4.71	4.84	4.79	4.97	1.11	1.22	1.37	1.8	1.77	1.68	1.75	1.14	1.43	1.28	1.16	1.04	0.86	0.77	0.64	0.74	0.7	1.37	1.36	2.86	1.3	1.26	0.81	2.69	4.53	4.37	1.335	1.2	0.835	2.605	4.62
hd050	jgi|Nemve1|57885|gw.15.184.1	central_domain	NvERTx.4.220026	1.76	0.26	-0.35	-0.27	0.44	1.09	1.73	1.91	0.16	0.1	0.23	0.13	0.17	0.17	0.13	0.14	0.24	0.22	0.64	0.88	1.23	0.73	0.74	0.68	0.74	0.61	0.6	1.07	0.22	0.27	1.09	1.62	0.57	1.54	0.225	0.205	1.16	1.69	0.505
hd147	jgi|Nemve1|69052|gw.17.372.1	central_ring	NvERTx.4.230224	6.2	1.85	0.55	0.46	0.64	0.83	0.65	0.23	6.11	6.45	5.98	6	5.9	6.06	6.36	6.15	6.43	6.74	7.57	8.3	8.51	8.38	8.01	7.12	7.11	6.73	6.76	6.05	6.46	5.62	8.5	5.58	1.23	1.23	6.22	5.885	8.505	5.89	0.935
hlxb9	jgi|Nemve1|101731|e_gw.61.34.1	central_domain	NvERTx.4.75749	2.41	0.9	0.33	0.77	1.32	1.26	1.46	1.64	0.1	0.14	0.09	0.1	0.1	0.1	0.1	0.09	0.1	0.17	0.16	0.6	0.97	0.98	1.7	1.66	2.21	2.28	2.75	2.51	0.12	0.12	0.9	2.31	1.41	1.47	0.105	0.105	0.935	2.36	1.365
