gene_common	image_link
brachyury	Brachyury_@_Blastula_stage_(Lateral_view).jpg
fgf8a	FGF8A_@_Blastula_stage_(Animal_view).jpg
fgf8a	FGF8A_@_Blastula_stage_(Lateral_view).jpg
foxa	FoxA_@_Blastula_stage_(Animal_view).jpg
foxa	FoxA_@_Blastula_stage_(Lateral_view).jpg
foxb	FoxB_@_Blastula_stage_(Animal_view).jpg
gli	Gli_@_Blastula_stage_(Animal_view).jpg
gli	Gli_@_Blastula_stage_(Lateral_view).jpg
hedgehog1	Hedgehog1_@_Blastula_stage_(Lateral_view).jpg
hlxb9	Hlxb9_@_Blastula_stage_(Animal_view).jpg
hlxb9	Hlxb9_@_Blastula_stage_(Lateral_view).jpg
nanos2	Nanos_2_@_Blastula_stage_(Animal_view).jpg
nanos2	Nanos_2_@_Blastula_stage_(Lateral_view).jpg
nvashc	NvashC_@_Blastula_stage_(Lateral_view).jpg
otxa	OtxA_@_Blastula_stage_(Animal_view).jpg
otxa	OtxA_@_Blastula_stage_(Lateral_view).jpg
otxb	OtxB_@_Blastula_stage_(Animal_view).jpg
otxb	OtxB_@_Blastula_stage_(Lateral_view).jpg
otxc	OtxC_@_Blastula_stage_(Animal_view).jpg
otxc	OtxC_@_Blastula_stage_(Lateral_view).jpg
pl10	Pl10_@_Blastula_stage_(Animal_view).jpg
pl10	Pl10_@_Blastula_stage_(Lateral_view).jpg
rx1	Rx1_@_Blastula_stage_(Lateral_view).jpg
snaila	Snail_A_@_Blastula_stage_(Animal_view).jpg
snaila	Snail_A_@_Blastula_stage_(Lateral_view).jpg
snailb	Snail_B_@_Blastula_stage_(Animal_view).jpg
snailb	Snail_B_@_Blastula_stage_(Lateral_view).jpg
sprouty	Sprouty_@_Blastula_stage_(Animal_view).jpg
sprouty	Sprouty_@_Blastula_stage_(Lateral_view).jpg
tcf	Tcf_@_Blastula_stage_(Lateral_view).jpg
vasa1	Vasa_1_@_Blastula_stage_(Animal_view).jpg
vasa1	Vasa_2_@_Blastula_stage_(Animal_view).jpg
vasa2	Vasa_2_@_Blastula_stage_(Lateral_view).jpg
wnt3	Wnt3_@_Blastula_stage_(Animal_view).jpg
wnt3	Wnt3_@_Blastula_stage_(Lateral_view).jpg
chordin	chordin_@_Blastula_stage_(Animal_view).jpg
duxa	duxA_@_Blastula_stage_(Lateral_view).jpg
foxq1	foxq1_@_Blastula_stage_(Lateral_view).jpg
frizzled10	frizzled_10_@_Blastula_stage_(Animal_view).jpg
frizzled10	frizzled_10_@_Blastula_stage_(Lateral_view).jpg
gsc	gsc_@_Blastula_stage_(Animal_view).jpg
hd050	hd050_@_Blastula_stage_(Lateral_view).jpg
hd147	hd147_@_Blastula_stage_(Animal_view).jpg
hd147	hd147_@_Blastula_stage_(Lateral_view).jpg
lhx1	lhx1_@_Blastula_stage_(Lateral_view).jpg
lmx	lmx_@_Blastula_stage_(Animal_view).jpg
lmx	lmx_@_Blastula_stage_(Lateral_view).jpg
tolloid	tolloid_@_Blastula_stage_(Animal_view).jpg
wnt2	wnt2_@_Blastula_stage_(Animal_view).jpg
wnt2	wnt2_@_Blastula_stage_(Lateral_view).jpg
wnt4	wnt4_@_Blastula_stage_(Animal_view).jpg
wnt4	wnt4_@_Blastula_stage_(Lateral_view).jpg
wnt8	wnt8_@_Blastula_stage_(Lateral_view).jpg
wnta	wntA_@_Blastula_stage_(Animal_view).jpg
